model,genre,midiset,audioset,piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
OaF,Classical,genre,disklavier,Classical_09,0.8523545975337411,0.7457650157165916,0.7955052106932486,0.9411042944785276,0.8984771573604061,0.919296843787455,0.7149284253578733,0.6825458805154236,0.6983619656412305,0.7337423312883435,0.700507614213198,0.7167399121054735,0.5566462167689161,0.5314330339711051,0.5437475029964043
OaF,Classical,genre,disklavier,Classical_10,0.9313995398263044,0.5724105800039233,0.7090562083297475,0.939601921757035,0.6355617455896008,0.7582387150373858,0.5428963623884695,0.3672237697307335,0.438105787870396,0.7364447494852436,0.4981429897864438,0.5942952090833564,0.4406314344543582,0.298050139275766,0.3555801716975907
OaF,Country,genre,disklavier,Country_01,0.9004326582372907,0.8464761570827489,0.8726211346261589,0.9067599067599068,0.8683035714285714,0.887115165336374,0.7482517482517482,0.7165178571428571,0.7320410490307867,0.583916083916084,0.5591517857142857,0.5712656784492588,0.5174825174825175,0.4955357142857143,0.5062713797035348
OaF,Country,genre,disklavier,Country_02,0.9480879953489244,0.8669845135399338,0.9057242676699812,0.9867724867724867,0.8288888888888889,0.9009661835748792,0.7486772486772487,0.6288888888888889,0.6835748792270532,0.6772486772486772,0.5688888888888889,0.6183574879227052,0.5079365079365079,0.4266666666666667,0.463768115942029
OaF,Country,genre,disklavier,Country_03,0.95776092966995,0.7614979047880744,0.8484271554858214,0.9556962025316456,0.9607635206786852,0.958223162347964,0.6719409282700421,0.6755037115588547,0.6737176097303014,0.6002109704641351,0.6033934252386002,0.6017979904812268,0.3955696202531645,0.3976670201484623,0.3966155473294553
OaF,Country,genre,disklavier,Country_04,0.9292463536129396,0.8488373361849787,0.8872237049202765,0.9642184557438794,0.7013698630136986,0.8120539254559872,0.6440677966101694,0.4684931506849315,0.542426645519429,0.6440677966101694,0.4684931506849315,0.542426645519429,0.4293785310734463,0.3123287671232876,0.3616177636796193
OaF,Country,genre,disklavier,Country_05,0.9583126216373332,0.8428927126406118,0.8969046558297423,0.9688524590163936,0.987468671679198,0.9780719900703352,0.830327868852459,0.8462823725981621,0.8382292097641706,0.3532786885245901,0.3600668337510442,0.3566404633843607,0.2967213114754098,0.302422723475355,0.2995448903599503
OaF,Country,genre,disklavier,Country_06,0.8943633207393036,0.9208326762340324,0.9074050091947474,0.9760765550239234,0.888243831640058,0.9300911854103344,0.7432216905901117,0.6763425253991292,0.7082066869300913,0.6156299840510366,0.5602322206095791,0.5866261398176291,0.4800637958532695,0.4368650217706821,0.4574468085106383
OaF,Country,genre,disklavier,Country_07,0.910106873542017,0.8448264285234675,0.8762524919257254,0.9880434782608696,0.9419689119170984,0.9644562334217506,0.7445652173913043,0.7098445595854922,0.7267904509283819,0.4130434782608695,0.3937823834196891,0.403183023872679,0.2576086956521739,0.2455958549222797,0.2514588859416446
OaF,Country,genre,disklavier,Country_08,0.8876228967810359,0.7785320109112394,0.8295061108320776,0.9862745098039216,0.983702737940026,0.9849869451697127,0.7392156862745098,0.7372881355932204,0.7382506527415145,0.4490196078431372,0.4478487614080834,0.4484334203655352,0.3418300653594771,0.3409387222946545,0.3413838120104439
