model,genre,midiset,audioset,piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
OaF,Soul,genre,disklavier,Soul_06,0.5178720873998673,0.0469028343099391,0.7390644405542481,0.4465717960977799,0.2606413134175264,0.8607695067221027,0.288317909622499,0.933031119737314,0.7036978050676016
OaF,Soul,genre,disklavier,Soul_07,0.137282321006407,0.3125606014302537,0.0794882976221423,0.3511456404087877,0.1081315884448708,0.99866552946696,0.943051665593405,0.9885885370083296,0.3584650676193154
OaF,Soul,genre,disklavier,Soul_08,0.0528638314730844,0.2457156481921551,0.3081149681659234,0.382347573611708,0.4608517717803342,0.8106977887615968,-0.288200895453418,-0.042695753114171,0.6840601727515683
OaF,Soul,genre,disklavier,Soul_09,0.2116010999961144,0.3182164108129562,0.1692402576729324,0.223972281714165,0.2741491986634027,0.8070126816533153,0.0288777918341979,0.4366248839116174,-0.1464043751002396
OaF,Soul,genre,disklavier,Soul_10,0.1323417163888033,-0.0068271362629408,0.3029717422328332,0.4852689943579588,0.5772997760828692,0.558111398672813,0.2581024832919824,0.2561897593791792,0.0974379286961975
OaF,World,genre,disklavier,World_01,0.4280312627681339,0.0207858348581086,0.155292850365611,0.6464487176950174,0.5970060324909441,0.2268030437678466,0.069843222531738,0.1787227755709509,0.1926495956203127
OaF,World,genre,disklavier,World_02,0.0885643817665014,0.1818789432233527,0.1463248290710207,0.1651461613702514,0.2516726308236128,0.6911762982417096,0.1920958645850314,0.872365078881956,0.0469951057399852
OaF,World,genre,disklavier,World_03,0.5762867632998215,0.3654772967319362,0.3880254719920511,0.6899168817963527,0.5914021996940019,0.6224238983516776,0.3455515838660953,0.5742898832769254,0.4911679437711336
OaF,World,genre,disklavier,World_04,0.1336175732900926,0.077909909854214,0.2611749636815421,0.3934395563836707,0.4131878881392844,0.5707557934982407,0.3177950928529807,0.658685633591775,0.7851463922425185
OaF,World,genre,disklavier,World_05,0.0281672724231676,0.2686407110308495,0.0697975349879154,0.0886039743460074,0.2062345850409931,0.6022142407612289,0.1093247531069134,0.3874504520283856,0.5593719446235742
OaF,World,genre,disklavier,World_06,0.678804118931782,0.8655073863138482,0.7232366098406012,0.5483671976908914,0.4398620552580272,0.8612150017610976,0.4191525703230298,0.6051299612760384,0.7681674768190193
OaF,World,genre,disklavier,World_07,0.0574659797920233,-0.0023045372993504,0.1072096290557439,0.585032362646562,0.5820910677155098,0.7477110094373947,0.4194277410831139,0.5015722295026593,0.1033773396320145
