model,polyphony,dynamics,midiset,audioset,piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
OaF,15,0,random,disklavier,RANDOM_P15_D0,0.171326437706714,0.1117811547974117,0.1211383452028491,-0.0014042075546523,0.2764575591856268,0.0472334298932951,0.1954210608468415,0.3624791938116046,0.4870164845862255
OaF,15,1,random,disklavier,RANDOM_P15_D1,0.1965064279613604,0.0007872206410258,0.1320119143607759,0.2005283292311755,0.2208582816878362,-0.1269755449751707,0.1411212203571986,0.0886930667098613,0.0175773930736775
OaF,15,2,random,disklavier,RANDOM_P15_D2,0.3027021295911825,0.0571807307138084,0.232352204528818,-0.070887644774738,0.22734654206062,0.1772496529307234,0.1389444838537551,0.4014288316373716,0.0802811596934062
OaF,16,0,random,disklavier,RANDOM_P16_D0,0.235773036928077,0.0485891643957631,0.1486444562321205,0.0076563749268618,0.2118155040113775,0.015453951484249,0.1359892713787014,-0.3775747525734718,-0.3800430745228653
OaF,16,1,random,disklavier,RANDOM_P16_D1,0.1810430126380269,0.1477954267071703,0.1409340549476035,0.2458961514040523,0.2975495473046493,0.1716902491858037,0.1901990226717919,-0.231675220740696,0.0575458317924628
OaF,16,2,random,disklavier,RANDOM_P16_D2,0.2177557343582012,0.0781705361650608,0.15196514641261,-0.1407427145567888,0.2251038242790144,0.2077992253261412,0.1921630789399728,0.3979005362639023,0.1711425133343138
OaF,17,0,random,disklavier,RANDOM_P17_D0,0.2804504508014313,0.1388481437190105,0.1850252067236388,0.0028284901971944,0.2743422303587762,-0.0770684346521634,0.1650809658589157,0.2136508526548177,0.3532854282147743
OaF,17,1,random,disklavier,RANDOM_P17_D1,0.1558024519262275,0.2460700292672801,0.09094238825987,0.1306018470536008,0.2871672019680448,0.1514334523269563,0.1620927420522576,-0.3634091575481364,0.1773206711665627
OaF,17,2,random,disklavier,RANDOM_P17_D2,0.2018993441342621,0.0482587444395883,0.0983747660602978,0.0052919430901102,0.2501014104328687,0.0265849703629693,-0.1547636556916893,0.6218875447923861,0.0477272555098824
OaF,18,0,random,disklavier,RANDOM_P18_D0,0.2111937824768293,0.0712489352122181,0.1368412531851778,0.0163045310049699,0.2739398247896831,0.0404646972402146,0.1424932929799164,-0.194682741894289,0.667072895599626
OaF,18,1,random,disklavier,RANDOM_P18_D1,0.1722758191019595,0.0860302957170529,0.1581541351130901,0.1093994127587143,0.2471124549007681,-0.0095527142130828,0.1244806844470511,-0.2762069875769337,0.1519198284822056
OaF,18,2,random,disklavier,RANDOM_P18_D2,0.2164096506324913,0.0749682656846546,0.207515942658237,-0.0301483654430647,0.2205436824042995,-0.2138534144244289,0.1583691313178311,0.2781087964162922,0.1689939061455913
OaF,19,0,random,disklavier,RANDOM_P19_D0,0.2248395247865283,0.0903291059148791,0.0975217920089306,0.0110505597374496,0.2489456176327368,0.0381064658824668,0.1582086552748953,0.1414475903848202,-0.2485602196932707
OaF,19,1,random,disklavier,RANDOM_P19_D1,0.1460817285323754,0.0879446920605898,0.0908744554166444,0.1526239009340863,0.1887069687369188,0.0281392502579134,0.007029868382744,-0.099471640208876,0.0687517640911846
OaF,19,2,random,disklavier,RANDOM_P19_D2,0.1685092730311885,0.1182597834851035,0.1158583127270806,-0.0551294371057694,0.2059122216993764,0.1719859373839595,0.142920955896669,0.2158047611704482,0.0144220871569148
OaF,20,0,random,disklavier,RANDOM_P20_D0,0.2343703088522214,0.0401152518390059,0.1906334180422597,0.0138572355112755,0.3055903009311663,0.0670411229547406,0.149689520971489,0.4339000972376933,-0.0221126369945488
OaF,20,1,random,disklavier,RANDOM_P20_D1,0.1070906497722158,0.0354535118558661,0.0954378810827111,0.0189889072258802,0.2992374885688712,-0.0218239314507714,0.080308170233488,-0.5724235579739576,0.1199021344584373
OaF,20,2,random,disklavier,RANDOM_P20_D2,0.1686613221528585,0.1915601808994098,0.1004847786382922,-0.0830415888718264,0.2373890346820473,-0.0538997910117968,0.1148638886093449,0.4407077866228013,0.083420765568907
OaF,21,0,random,disklavier,RANDOM_P21_D0,0.190211775916329,0.0623206179147054,0.1459424692706106,0.0223621772281121,0.2742579274211765,-0.1294492468735596,0.1265773390056978,-0.1944475049332918,0.6420930639769198
OaF,21,1,random,disklavier,RANDOM_P21_D1,0.1769047293778366,0.0448042389586791,0.0849812160741085,0.0542333362888016,0.2745032481957928,-0.111209468333461,0.1755728762497802,-0.5448600554502633,0.0806230952755913
OaF,21,2,random,disklavier,RANDOM_P21_D2,0.1365816871060519,0.2411969498529365,0.0861974038326144,-0.0872359286971071,0.2252988536364585,0.0386934120586585,0.1744460388344751,0.5530792850495465,0.0848523657410588
OaF,22,0,random,disklavier,RANDOM_P22_D0,0.2234591409154224,0.0314039582942811,0.09712520510538,0.1581364843116263,0.2735361037683077,0.0009841291967346,0.164347951680026,-0.1884434194856527,-0.023241843071658
OaF,22,1,random,disklavier,RANDOM_P22_D1,0.141634878217419,0.1016067891121737,0.0832130052697417,-0.0602683039548155,0.2789967534332611,0.1181610187226633,0.1300276981877072,-0.3691367451172266,0.027851542602437
OaF,22,2,random,disklavier,RANDOM_P22_D2,0.1005786536884234,0.07375436751982,0.0258706749926196,-0.0285719948160306,0.242218469903864,-0.2136572845094783,0.1596668729879166,-0.2812509174123596,0.0337185252822618
OaF,23,0,random,disklavier,RANDOM_P23_D0,0.1852376426159017,0.0507630843818903,0.1019657319813051,0.1006762026714502,0.2464433407656454,0.0545427780172656,0.1023582733471356,0.2054039433915676,0.3675826428567578
OaF,23,1,random,disklavier,RANDOM_P23_D1,0.1500176132332691,0.0250054754257529,0.069273981536189,0.0134489139575502,0.2558648221939397,-0.0308164023890041,0.1065658832404018,-0.0348940761451515,0.1865040635446465
